Quote on 6/24/26 09:20:37

SPDR Sector
Symbol,Sector,Momo,Mark,Volume,%C-WOPEN,LWC,%Change,EXT %Chng,IV+,Impl Vol,-V%,VD%,IFP,Con score,SMRTx,WITS,STRSI,RS5,RS10,RS21,15m,2hr,D,W
EEM,, ,67.170,"24,683",-5.78%,-3.0,0.00%,+0.10%,85.0,41.76%,5.32%,0.94,—,EXPANDING,3.0,SIDELINE,EXP -7,loading,22.7,37.7,1,1,1,loading
KRE,, ,73.120,"4,091",2.51%,-1.0,0.00%,+0.04%,23.0,26.59%,9.79%,1.19,INF ↑,STABLE,71.0,DRIVING+,EXP 6,100.0,87.3,94.3,4,3,3,3
XBI,,CYBO,147.030,"51,792",2.44%,1.0,0.00%,+0.12%,49.0,33.12%,17.25%,0.95,loading,PRIMED,80.0,DRIVING+,EARLY 8,100.0,100.0,100.0,4,4,3,3
XHB,, ,108.240,422,-2.16%,-3.0,0.00%,+0.83%,40.0,29.32%,-3.54%,0.95,↓(TRIG),STABLE,22.0,SIDELINE,-,65.6,71.8,90.2,3,1,4,3
OIH,,C2BD,384.520,453,-0.56%,-1.0,0.00%,-1.00%,20.0,32.35%,-4.58%,0.9,↑(TRIG),STABLE,59.0,DISTRIBUTION,-,28.2,10.3,8.9,1,1,1,1
XOP,,T2BD,152.650,"53,765",1.04%,-1.0,0.00%,-1.48%,40.0,31.91%,1.14%,1.02,↑(TRIG),STABLE,74.0,SIDELINE,-,100.0,20.1,20.1,1,1,1,1
ETHA,, ,12.510,"988,113",-5.86%,-1.0,0.00%,-0.16%,10.0,64.17%,4.28%,0.92,—,STABLE,0.0,SIDELINE,-,0.0,0.0,15.0,1,1,1,1
IBIT,, ,35.180,"2,583,638",-3.98%,-1.0,0.00%,-0.40%,14.0,50.23%,10.5%,1.08,—,STABLE,0.0,SIDELINE,-,20.1,16.2,9.8,1,1,1,1
XXRP,, ,2.240,"362,318",-8.56%,-1.0,0.00%,-5.11%,loading,96.17%,-42.46%,0.69,—,STABLE,42.0,DISTRIBUTION,-,0.0,0.0,0.0,1,1,1,1
SOLT,, ,28.520,"17,372",-14.61%,-3.0,0.00%,-0.21%,35.0,124.47%,7.17%,0.81,—,STABLE,0.0,DISTRIBUTION,-,0.0,36.2,16.4,1,1,1,1
VVIX,, ,99.500,<empty>,11.37%,3.0,0.00%,0.00%,NaN,<empty>,N/A%,NaN,—,STABLE,NaN,P1→P2,EARLY 8,100.0,55.3,57.6,5,3,3,2
