Quote on 6/24/26 09:28:37

TOP5
Symbol,Sector,Momo,Mark,Volume,%C-WOPEN,LWC,%Change,EXT %Chng,IV+,Impl Vol,-V%,VD%,IFP,Con score,SMRTx,WITS,STRSI,RS5,RS10,RS21,15m,2hr,D,W
HCA,Health Care, ,386.920,224,3.62%,-1.0,0.00%,-0.23%,60.0,34.84%,10.01%,1.08,↑(TRIG),STABLE,80.0,RESET,EARLY 8,86.6,loading,86.2,1,3,4,loading
HOOD,Financials, ,102.190,"495,182",-4.40%,1.0,0.00%,-1.09%,40.0,75.02%,5.54%,0.91,loading,STABLE,13.0,DRIVING+,-,73.1,86.1,90.8,1,1,3,3
SOFI,Financials, ,17.250,"702,761",-1.71%,3.0,0.00%,-0.29%,24.0,64.73%,10.25%,1.04,↑(TRIG),STABLE,23.0,P1→P2,-,56.4,76.6,66.3,1,1,4,loading
AMAT,Information Technology, ,584.830,"81,271",loading,-3.0,0.00%,-0.42%,100.0,82.88%,14.99%,1.04,—,PRIMED,76.0,DRIVING+,-,37.7,64.2,77.1,1,1,3,3
TRV,Financials,TBO,316.960,515,2.87%,1.0,0.00%,-0.02%,44.0,25.51%,-6.99%,1.19,INF ↑,EXPANDING,75.0,P2→P3,EXP 7,100.0,100.0,100.0,3,3,3,3
CRM,Information Technology,T2BD,152.000,"83,478",2.17%,-1.0,0.00%,-1.09%,60.0,45.52%,-1.24%,0.78,loading,STABLE,loading,SIDELINE,EXP -7,49.2,18.3,9.1,1,loading,1,1
HON,Industrials, ,223.080,"49,912",-3.22%,-3.0,0.00%,+0.51%,loading,34.00%,4.02%,0.83,—,STABLE,16.0,SIDELINE,-,0.0,loading,51.1,5,loading,1,1
IBM,Information Technology, ,264.000,"155,642",6.65%,-1.0,0.00%,-0.73%,62.0,49.30%,16.52%,0.69,↑(TRIG),PRIMED,41.0,P2→P3,-,95.4,57.9,26.3,loading,3,1,4
AMGN,Health Care, ,347.010,"3,105",2.77%,-1.0,0.00%,+0.03%,loading,28.72%,3.03%,1.01,↑(TRIG),STABLE,66.0,P1→P2,-,100.0,62.0,74.1,3,3,4,2
KHC,Consumer Staples, ,22.470,"22,194",-0.79%,-1.0,0.00%,+0.18%,38.0,30.11%,-10.46%,1.01,—,STABLE,14.0,SIDELINE,EARLY -7,44.4,24.9,24.9,3,1,1,1
MO,Consumer Staples, ,71.610,"18,697",3.53%,3.0,0.00%,-0.01%,loading,24.76%,4.36%,0.86,↑(TRIG),PRIMED,66.0,SIDELINE,-,100.0,52.5,57.2,3,3,3,4
MU,Information Technology, ,1083.200,"3,981,908",-12.08%,-3.0,0.00%,+3.07%,95.0,114.84%,-0.96%,0.87,—,EXPANDING,56.0,DRIVING+,EARLY -7,25.5,48.9,67.9,1,1,5,3
APP,Information Technology,C2BD,463.500,"13,902",2.12%,-1.0,0.00%,-1.28%,34.0,73.26%,6.02%,0.99,↑(TRIG),STABLE,74.0,PULLBACK,-,12.1,8.4,3.8,1,1,1,5
KLAC,Information Technology, ,242.110,"82,507",-7.95%,-3.0,0.00%,-0.99%,100.0,84.55%,14.5%,0.91,—,PRIMED,71.0,DRIVING+,-,35.0,57.6,72.7,1,1,loading,3
STX,Information Technology, ,1038.000,"59,106",-4.63%,3.0,0.00%,+0.13%,99.0,95.55%,7.52%,loading,loading,PRIMED,86.0,DRIVING+,-,38.4,83.0,84.7,1,1,4,3
GEV,Industrials, ,1046.000,"33,645",-8.41%,1.0,0.00%,+1.74%,51.0,53.71%,9.89%,0.85,↓(TRIG),EXPANDING,17.0,SIDELINE,-,47.3,65.2,65.2,4,1,3,3
MS,Financials, ,226.030,"72,969",-0.30%,1.0,0.00%,-0.07%,loading,36.09%,2.44%,1.31,↓(TRIG),STABLE,87.0,DRIVING+,-,100.0,100.0,100.0,1,5,3,3
SNDK,Information Technology, ,1990.000,"477,514",-14.38%,-3.0,0.00%,+1.40%,92.0,123.85%,10.85%,1.12,loading,EXPANDING,loading,DRIVING+,EXP -7,7.2,52.0,63.6,1,1,5,3
PLTR,Information Technology,CYBD,114.030,"1,301,798",-7.19%,-1.0,0.00%,-2.31%,loading,58.66%,13.77%,0.86,↓(TRIG),loading,44.0,SIDELINE,EXP -7,0.0,0.0,0.0,1,1,1,1
MRVL,Information Technology, ,282.000,"968,817",-10.96%,-3.0,0.00%,+1.34%,83.0,105.77%,-4.23%,0.67,↓(TRIG),STABLE,22.0,DRIVING+,EARLY -8,17.1,43.6,72.7,1,1,5,3
RIOT,Information Technology, ,28.370,"82,483",0.88%,3.0,0.00%,-0.99%,33.0,91.90%,5.38%,1.39,↑(TRIG),STABLE,96.0,DRIVING+,-,100.0,100.0,100.0,1,4,3,3
